Pb,CHEBI,CHEBI:25016
microtubules,GO,GO:0005874
NAc,UBERON,UBERON:0001882
LDL-C,CHEBI,CHEBI:47774
MCs,MESH,D008407
oligomers,CHEBI,CHEBI:132554
protein C,HGNC,PROC
MetS,MESH,D024821
Si,CHEBI,CHEBI:27573
Age,MESH,D000375
miR-1,HGNC,MIR1-1
transmembrane protein,NCIT,C16747
protein A,IP,IPR003132
pHi,MESH,D006863
tumor suppressor protein,MESH,D025521
integrase,MESH,D019426
glucocorticoids,CHEBI,CHEBI:24261
Htt,HGNC,HTT
Rg1,CHEBI,CHEBI:67987
MIP-2,HGNC,CXCL2
forskolin,CHEBI,CHEBI:42471
Gal4,UP,P04386
Ga,CHEBI,CHEBI:49631
GAL4,UP,P04386
Sex,MESH,D012723
cycloheximide,CHEBI,CHEBI:27641
HUVECs,MESH,D061307
Nec-1,MESH,C507699
Dpp,UP,P07713
CCR6,HGNC,CCR6
Fish,MESH,D005399
Ts,FMA,FMA:84070
SIN-1,PUBCHEM,9859122
Mg2,CHEBI,CHEBI:18420
Pdx1,UP,P52946
butyrate,CHEBI,CHEBI:17968
fats,MESH,D005223
alpha-glucosidase,HGNC,GAA
ACh,CHEBI,CHEBI:15355
CaP,CHEBI,CHEBI:77635
Ph,MESH,D006863
chloroquine,CHEBI,CHEBI:3638
RNase H,MESH,D016914
carp,MESH,D002347
transgene,MESH,D019076
protein phosphatase,MESH,D010749
proton pump,MESH,D017494
AT 1,HGNC,AGTR1
AsA,CHEBI,CHEBI:22651
PhIP,CHEBI,CHEBI:76290
autosomal dominant,HP,HP:0000006
AAAs,DOID,DOID:7693
cART,NCIT,C94631
IL-27,HGNC,IL27
Gal,HGNC,GAL
Ado,CHEBI,CHEBI:16335
Sca-1,MESH,C074650
Heparin,CHEBI,CHEBI:28304
Pa,MESH,D011550
PDX1,HGNC,PDX1
PTPs,ECCODE,3.1.3.48
chymotrypsin,MESH,D002918
LHb,UBERON,UBERON:0001941
pyrene,CHEBI,CHEBI:39106
oat,MESH,D018554
hyaluronan,CHEBI,CHEBI:16336
CO2,CHEBI,CHEBI:16526
Tir,UP,B7UM99
MoS,CHEBI,CHEBI:30704
calcineurin inhibitor,MESH,D065095
Sic1,UP,P38634
sIL,NCIT,C20497
α-MSH,UPPRO,PRO_0000024970
MI/R,MESH,D015428
Glucocorticoids,CHEBI,CHEBI:24261
17β-estradiol,CHEBI,CHEBI:16469
Gp120,IP,IPR000777
CdS,CHEBI,CHEBI:50833
gAd,HGNC,ADIPOQ
mental retardation,MESH,D008607
Cdo,UP,Q32MD9
C4b,HGNC,C4B
ACE inhibitors,CHEBI,CHEBI:35457
GRs,HGNC,NR3C1
Hes1,HGNC,HES1
Protein A,IP,IPR003132
HT-1080,EFO,0002059
Fel,IP,IPR006178
G2/M,GO,GO:0044818
MCF7,NCIT,C18096
warts,MESH,D014860
losartan,CHEBI,CHEBI:6541
epithelial-mesenchymal transition,GO,GO:0001837
A3B,HGNC,APOBEC3B
nuclear receptor,NCIT,C17671
helicase,NCIT,C20423
nuclear receptors,NCIT,C17671
RNase,MESH,D012260
LDL-c,CHEBI,CHEBI:47774
dithiothreitol,CHEBI,CHEBI:18320
Pdx-1,UP,P52946
ecto-5'-nucleotidase,HGNC,NT5E
CatL,HGNC,CTSL
MCh,CHEBI,CHEBI:6804
HAp,CHEBI,CHEBI:52255
Forskolin,CHEBI,CHEBI:42471
PIN2,UP,Q9LU77
Cycloheximide,CHEBI,CHEBI:27641
Cr,CHEBI,CHEBI:28073
Th1-,MESH,D018417
NTPase,MESH,D043583
prostaglandin,CHEBI,CHEBI:26333
LepR,HGNC,LEPR
rhodamine,MESH,D012235
Chloroquine,CHEBI,CHEBI:3638
HES1,HGNC,HES1
Upd,IP,IPR031901
Indo,CHEBI,CHEBI:49662
snRNAs,CHEBI,CHEBI:74035
GPe,UBERON,UBERON:0002476
hASC,BTO,BTO:0005198
serine protease inhibitor,CHEBI,CHEBI:64926
Dcp1,UP,Q9W1H5
farnesyl diphosphate synthase,HGNC,FDPS
zymosan,CHEBI,CHEBI:37671
NaV1,HGNC,SCN5A
prolyl hydroxylase,MESH,D064828
lard,MESH,C029310
SnO,CHEBI,CHEBI:52990
interferon-γ,HGNC,IFNG
ganglioside,MESH,D005732
rheumatoid factor,MESH,D012217
integral membrane protein,MESH,D008565
RGD motif,NCIT,C13288
Lepr,HGNC,LEPR
FoxO6,UP,Q70KY4
Dopamine,CHEBI,CHEBI:18243
CPu,UBERON,UBERON:0005383
D-AP5,PUBCHEM,135342
musk,MESH,C008563
noradrenaline,CHEBI,CHEBI:33569
a-MSH,UPPRO,PRO_0000024970
Cer,CHEBI,CHEBI:17761
SeP,HGNC,SELENOP
ObR,HGNC,LEPR
F4/80,UP,Q61549
scar formation,MESH,D002921
MEI-1,UP,P34808
Butyrate,CHEBI,CHEBI:17968
OB-R,HGNC,LEPR
Hyperglycemia,MESH,D006943
PPy,CHEBI,CHEBI:53263
molt,MESH,D018978
Arl1,HGNC,ARL1
mIg,MESH,D011947
GT1b,CHEBI,CHEBI:60913
sarA,UP,Q7A1N5
leucine-rich repeat,NCIT,C26197
MicA,RFAM,RF00078
iodide,CHEBI,CHEBI:16382
Ob-R,HGNC,LEPR
gp5,UP,W6PWA4
crp,PANTHER.FAMILY,PTHR24567:SF68
PstI,UP,P00640
ProT,HGNC,F2
CapZ,IP,IPR037282
parC,UP,P0AFI2
topoisomerase I,HGNC,TOP1
GST-P,HGNC,GSTP1
Matrigel,MESH,C059485
HePC,CHEBI,CHEBI:75283
WC-1,UP,Q01371
LDLc,CHEBI,CHEBI:47774
tryptophanase,MESH,D014368
LiP,MESH,C042858
phosphatidylinositols,CHEBI,CHEBI:28874
vasodilator,MESH,D014665
BimEL,HGNC,BCL2L11
ChT,HGNC,CHIT1
glyceraldehyde-3-phosphate dehydrogenase,HGNC,GAPDH
Rhodamine,MESH,D012235
Epithelial-mesenchymal transition,GO,GO:0001837
homologous recombination,NCIT,C18144
angiotensin-converting enzyme 2,HGNC,ACE2
Etoposide,CHEBI,CHEBI:4911
peas,MESH,D018532
lipid peroxidation,NCIT,C81870
TPH2,HGNC,TPH2
lipid phosphatase,ECCODE,3.1.3.76
pEGFP,TAXONOMY,54105
Hyaluronan,CHEBI,CHEBI:16336
glycyrrhizin,CHEBI,CHEBI:15939
light chain 3,HGNC,MAP1LC3A
pHs,MESH,D006863
Cardiopulmonary bypass,MESH,D002315
COX2,HGNC,PTGS2
Dithiothreitol,CHEBI,CHEBI:18320
neuropathic pain,MESH,D009437
DAF-2,UP,Q968Y9
manganese,CHEBI,CHEBI:18291
isocitrate,MESH,D007523
pp125,HGNC,PTK2
metabolic syndrome,MESH,D024821
helicases,ECCODE,3.6.4.12
BaP,CHEBI,CHEBI:29865
Cox-2,HGNC,PTGS2
lactase,HGNC,LCT
gC,UP,P10228
RBP4,HGNC,RBP4
Trx-1,HGNC,TXN
SREBP1c,HGNC,SREBF1
amyloid-beta peptide,MESH,D016229
RSK1,HGNC,RPS6KA1
GLUT3,HGNC,SLC2A3
TG2,HGNC,TGM2
PsA,MESH,D015535
Atrial natriuretic factor,MESH,D009320
SpA,UP,P02976
lipid phosphatases,ECCODE,3.1.3.76
rotenone,CHEBI,CHEBI:28201
cyclin D1,HGNC,CCND1
neoadjuvant chemotherapy,NCIT,C15665
CT26,CVCL,CVCL_7254
MODY,HP,HP:0004904
PPCD,DOID,DOID:0060457
