EntrezGene,Symbol
6591,SNAI2
333929,SNAI3
6621,SNAPC4
402381,SOHLH1
54937,SOHLH2
6656,SOX1
6663,SOX10
6664,SOX11
6666,SOX12
9580,SOX13
8403,SOX14
6665,SOX15
54345,SOX18
11166,SOX21
6658,SOX3
11063,SOX30
6659,SOX4
55553,SOX6
83595,SOX7
30812,SOX8
6672,SP100
3431,SP110
11262,SP140
93349,SP140L
6668,SP2
6670,SP3
6671,SP4
389058,SP5
80320,SP6
121340,SP7
221833,SP8
100131390,SP9
25803,SPDEF
121599,SPIC
6720,SREBF1
6721,SREBF2
6749,SSRP1
9705,ST18
6773,STAT2
6775,STAT4
6776,STAT5A
6777,STAT5B
6778,STAT6
6871,TADA2A
93624,TADA2B
6872,TAF1
8887,TAX1BP1
30851,TAX1BP3
9519,TBPL1
10716,TBR1
6899,TBX1
6913,TBX15
9096,TBX18
9095,TBX19
6909,TBX2
57057,TBX20
30009,TBX21
50945,TBX22
6926,TBX3
9496,TBX4
6910,TBX5
6911,TBX6
6938,TCF12
6939,TCF15
6941,TCF19
6942,TCF20
6943,TCF21
150921,TCF23
100129654,TCF24
22980,TCF25
6925,TCF4
6932,TCF7
83439,TCF7L1
6934,TCF7L2
10732,TCFL5
8463,TEAD2
7005,TEAD3
7004,TEAD4
7008,TEF
7013,TERF1
7014,TERF2
80312,TET1
54790,TET2
200424,TET3
7019,TFAM
7021,TFAP2B
7022,TFAP2C
7023,TFAP4
51106,TFB1M
64216,TFB2M
7024,TFCP2
29842,TFCP2L1
7027,TFDP1
7029,TFDP2
51270,TFDP3
7030,TFE3
7942,TFEB
22797,TFEC
7050,TGIF1
60436,TGIF2
90316,TGIF2LX
55145,THAP1
56906,THAP10
57215,THAP11
83591,THAP2
90326,THAP3
51078,THAP4
168451,THAP5
152815,THAP6
80764,THAP7
199745,THAP8
79725,THAP9
7067,THRA
7068,THRB
3195,TLX1
3196,TLX2
30012,TLX3
114034,TOE1
4796,TONSL
10210,TOPORS
9760,TOX
84969,TOX2
27324,TOX3
9878,TOX4
8626,TP63
7161,TP73
348825,TPRXL
55809,TRERF1
7227,TRPS1
8848,TSC22D1
9819,TSC22D2
1831,TSC22D3
81628,TSC22D4
10194,TSHZ1
128553,TSHZ2
57616,TSHZ3
7270,TTF1
8458,TTF2
7275,TUB
7291,TWIST1
117581,TWIST2
7342,UBP1
7343,UBTF
340260,UNCX
85451,UNK
64718,UNKL
7392,USF2
8433,UTF1
11023,VAX1
25806,VAX2
27287,VENTX
7716,VEZF1
30813,VSX1
338917,VSX2
11169,WDHD1
7468,WHSC1
58525,WIZ
7490,WT1
7494,XBP1
4904,YBX1
51087,YBX2
55689,YEATS2
8089,YEATS4
7528,YY1
9189,ZBED1
79413,ZBED2
84327,ZBED3
9889,ZBED4
58486,ZBED5
81030,ZBP1
22890,ZBTB1
65986,ZBTB10
27107,ZBTB11
221527,ZBTB12
7704,ZBTB16
7709,ZBTB17
57621,ZBTB2
26137,ZBTB20
9278,ZBTB22
9841,ZBTB24
7597,ZBTB25
57684,ZBTB26
79842,ZBTB3
27033,ZBTB32
10009,ZBTB33
403341,ZBTB34
84614,ZBTB37
253461,ZBTB38
9880,ZBTB39
57659,ZBTB4
9923,ZBTB40
360023,ZBTB41
100128927,ZBTB42
23099,ZBTB43
29068,ZBTB44
84878,ZBTB45
140685,ZBTB46
92999,ZBTB47
3104,ZBTB48
166793,ZBTB49
9925,ZBTB5
10773,ZBTB6
51341,ZBTB7A
51043,ZBTB7B
201501,ZBTB7C
653121,ZBTB8A
728116,ZBTB8B
221504,ZBTB9
84872,ZC3H10
9877,ZC3H11A
80149,ZC3H12A
23091,ZC3H13
79882,ZC3H14
55854,ZC3H15
124245,ZC3H18
23144,ZC3H3
23211,ZC3H4
376940,ZC3H6
29066,ZC3H7A
23264,ZC3H7B
84524,ZC3H8
23318,ZCCHC11
79670,ZCCHC6
9839,ZEB2
57623,ZFAT
85446,ZFHX2
463,ZFHX3
79776,ZFHX4
162239,ZFP1
64397,ZFP106
7771,ZFP112
57677,ZFP14
7541,ZFP161
80108,ZFP2
124961,ZFP3
22835,ZFP30
677,ZFP36L1
678,ZFP36L2
7539,ZFP37
286128,ZFP41
132625,ZFP42
346171,ZFP57
643836,ZFP62
55734,ZFP64
284406,ZFP82
146198,ZFP90
80829,ZFP91
161882,ZFPM1
23414,ZFPM2
7544,ZFY
23503,ZFYVE26
100125288,ZGLP1
84619,ZGPAT
11244,ZHX1
22882,ZHX2
23051,ZHX3
7545,ZIC1
7546,ZIC2
7547,ZIC3
84107,ZIC4
85416,ZIC5
284307,ZIK1
23619,ZIM2
7586,ZKSCAN1
342357,ZKSCAN2
80317,ZKSCAN3
387032,ZKSCAN4
23660,ZKSCAN5
84460,ZMAT1
153527,ZMAT2
64393,ZMAT3
79698,ZMAT4
55954,ZMAT5
7556,ZNF10
163227,ZNF100
94039,ZNF101
51427,ZNF107
163071,ZNF114
51351,ZNF117
7559,ZNF12
7675,ZNF121
7678,ZNF124
7690,ZNF131
7691,ZNF132
7692,ZNF133
7693,ZNF134
7694,ZNF135
7695,ZNF136
7697,ZNF138
7561,ZNF14
7699,ZNF140
7700,ZNF141
7701,ZNF142
7705,ZNF146
7707,ZNF148
7710,ZNF154
7711,ZNF155
7712,ZNF157
7564,ZNF16
90338,ZNF160
7718,ZNF165
55888,ZNF167
169841,ZNF169
7565,ZNF17
7727,ZNF174
7728,ZNF175
7730,ZNF177
7566,ZNF18
7733,ZNF180
339318,ZNF181
7569,ZNF182
7738,ZNF184
7741,ZNF187
7743,ZNF189
7567,ZNF19
7745,ZNF192
7746,ZNF193
7748,ZNF195
10168,ZNF197
7549,ZNF2
7568,ZNF20
7752,ZNF200
7753,ZNF202
7755,ZNF205
7756,ZNF207
7757,ZNF208
10520,ZNF211
7988,ZNF212
7760,ZNF213
7761,ZNF214
7762,ZNF215
7764,ZNF217
51222,ZNF219
7570,ZNF22
7638,ZNF221
7673,ZNF222
7766,ZNF223
7767,ZNF224
7768,ZNF225
7769,ZNF226
7770,ZNF227
7772,ZNF229
7571,ZNF23
7773,ZNF230
7775,ZNF232
353355,ZNF233
10780,ZNF234
9310,ZNF235
7776,ZNF236
10472,ZNF238
8187,ZNF239
7572,ZNF24
57209,ZNF248
219749,ZNF25
58500,ZNF250
90987,ZNF251
56242,ZNF253
9534,ZNF254
10172,ZNF256
113835,ZNF257
7574,ZNF26
339324,ZNF260
10127,ZNF263
9422,ZNF264
10781,ZNF266
10308,ZNF267
10795,ZNF268
10778,ZNF271
10793,ZNF273
10782,ZNF274
10838,ZNF275
92822,ZNF276
11179,ZNF277
7576,ZNF28
129025,ZNF280A
140883,ZNF280B
55609,ZNF280C
54816,ZNF280D
23528,ZNF281
8427,ZNF282
284349,ZNF283
342909,ZNF284
26974,ZNF285
57336,ZNF287
23036,ZNF292
49854,ZNF295
162979,ZNF296
7551,ZNF3
90075,ZNF30
91975,ZNF300
55900,ZNF302
57343,ZNF304
282890,ZNF311
100131017,ZNF316
57693,ZNF317
24149,ZNF318
57567,ZNF319
7580,ZNF32
162967,ZNF320
399669,ZNF321P
79692,ZNF322
64288,ZNF323
25799,ZNF324
388569,ZNF324B
284695,ZNF326
79673,ZNF329
55422,ZNF331
84449,ZNF333
55713,ZNF334
63925,ZNF335
26152,ZNF337
7581,ZNF33A
7582,ZNF33B
80778,ZNF34
84905,ZNF341
79175,ZNF343
25850,ZNF345
23567,ZNF346
84671,ZNF347
7584,ZNF35
59348,ZNF350
6940,ZNF354A
117608,ZNF354B
30832,ZNF354C
140467,ZNF358
149076,ZNF362
22891,ZNF365
167465,ZNF366
195828,ZNF367
7587,ZNF37A
84911,ZNF382
163087,ZNF383
171017,ZNF384
25946,ZNF385A
151126,ZNF385B
201181,ZNF385C
79750,ZNF385D
346157,ZNF391
84124,ZNF394
55893,ZNF395
252884,ZNF396
84307,ZNF397
57541,ZNF398
55628,ZNF407
79797,ZNF408
7592,ZNF41
57862,ZNF410
84330,ZNF414
55786,ZNF415
55659,ZNF416
147687,ZNF417
147686,ZNF418
79744,ZNF419
147923,ZNF420
23090,ZNF423
155054,ZNF425
79088,ZNF426
126299,ZNF428
353088,ZNF429
7594,ZNF43
80264,ZNF430
170959,ZNF431
9668,ZNF432
163059,ZNF433
54925,ZNF434
80818,ZNF436
220929,ZNF438
90594,ZNF439
51710,ZNF44
126070,ZNF440
126068,ZNF441
79973,ZNF442
10224,ZNF443
55311,ZNF444
353274,ZNF445
55663,ZNF446
203523,ZNF449
7596,ZNF45
26036,ZNF451
285676,ZNF454
10794,ZNF460
92283,ZNF461
58499,ZNF462
168544,ZNF467
90333,ZNF468
84627,ZNF469
388566,ZNF470
57573,ZNF471
25888,ZNF473
133923,ZNF474
197407,ZNF48
147657,ZNF480
158399,ZNF483
83744,ZNF484
220992,ZNF485
90649,ZNF486
642819,ZNF487P
118738,ZNF488
57474,ZNF490
126069,ZNF491
57615,ZNF492
284443,ZNF493
84838,ZNF496
162968,ZNF497
221785,ZNF498
26048,ZNF500
115560,ZNF501
91392,ZNF502
84858,ZNF503
440515,ZNF506
22847,ZNF507
22869,ZNF510
118472,ZNF511
84450,ZNF512
57473,ZNF512B
130557,ZNF513
84874,ZNF514
9658,ZNF516
340385,ZNF517
9849,ZNF518A
85460,ZNF518B
162655,ZNF519
25925,ZNF521
147807,ZNF524
170958,ZNF525
116115,ZNF526
84503,ZNF527
84436,ZNF528
57711,ZNF529
348327,ZNF530
55205,ZNF532
147658,ZNF534
9745,ZNF536
163255,ZNF540
84215,ZNF541
147947,ZNF542
125919,ZNF543
27300,ZNF544
339327,ZNF546
284306,ZNF547
147694,ZNF548
256051,ZNF549
162972,ZNF550
90233,ZNF551
79818,ZNF552
115196,ZNF554
148254,ZNF555
80032,ZNF556
79230,ZNF557
148156,ZNF558
84527,ZNF559
147741,ZNF560
93134,ZNF561
54811,ZNF562
147837,ZNF563
163050,ZNF564
147929,ZNF565
84924,ZNF566
163081,ZNF567
374900,ZNF568
148266,ZNF569
126295,ZNF57
148268,ZNF570
51276,ZNF571
137209,ZNF572
126231,ZNF573
64763,ZNF574
284346,ZNF575
79177,ZNF576
84765,ZNF577
147660,ZNF578
163033,ZNF579
51157,ZNF580
51545,ZNF581
147948,ZNF582
147949,ZNF583
201514,ZNF584
199704,ZNF585A
92285,ZNF585B
54807,ZNF586
84914,ZNF587
51385,ZNF589
9640,ZNF592
51042,ZNF593
84622,ZNF594
152687,ZNF595
169270,ZNF596
146434,ZNF597
90850,ZNF598
148103,ZNF599
162966,ZNF600
100289635,ZNF605
80095,ZNF606
84775,ZNF607
57507,ZNF608
23060,ZNF609
162963,ZNF610
81856,ZNF611
79898,ZNF613
80110,ZNF614
284370,ZNF615
90317,ZNF616
114991,ZNF618
285267,ZNF619
253639,ZNF620
285268,ZNF621
90441,ZNF622
9831,ZNF623
57547,ZNF624
90589,ZNF625
199777,ZNF626
199692,ZNF627
89887,ZNF628
23361,ZNF629
51193,ZNF639
121274,ZNF641
339559,ZNF642
65243,ZNF643
84146,ZNF644
9726,ZNF646
65251,ZNF649
22834,ZNF652
115950,ZNF653
55279,ZNF654
79027,ZNF655
285349,ZNF660
389114,ZNF662
100130934,ZNF663
144348,ZNF664
79788,ZNF665
63934,ZNF667
79759,ZNF668
79862,ZNF669
7617,ZNF66P
93474,ZNF670
79891,ZNF671
79894,ZNF672
641339,ZNF674
171392,ZNF675
163223,ZNF676
342926,ZNF677
339500,ZNF678
340252,ZNF680
148213,ZNF681
91120,ZNF682
257101,ZNF683
127396,ZNF684
57592,ZNF687
146542,ZNF688
115509,ZNF689
7620,ZNF69
51058,ZNF691
55657,ZNF692
57116,ZNF695
79943,ZNF696
90874,ZNF697
374879,ZNF699
7553,ZNF7
7621,ZNF70
90592,ZNF700
55762,ZNF701
79986,ZNF702P
80139,ZNF703
619279,ZNF704
440077,ZNF705A
51123,ZNF706
286075,ZNF707
7562,ZNF708
163051,ZNF709
58491,ZNF71
374655,ZNF710
7552,ZNF711
349075,ZNF713
148206,ZNF714
441234,ZNF716
100131827,ZNF717
255403,ZNF718
124411,ZNF720
170960,ZNF721
440519,ZNF724P
100128853,ZNF725
730087,ZNF726
442319,ZNF727
100287226,ZNF729
100129543,ZNF730
654254,ZNF732
100129842,ZNF737
7625,ZNF74
283337,ZNF740
155061,ZNF746
65988,ZNF747
388567,ZNF749
79755,ZNF750
7627,ZNF75A
7626,ZNF75D
7629,ZNF76
388561,ZNF761
284390,ZNF763
92595,ZNF764
91661,ZNF765
90321,ZNF766
79724,ZNF768
58492,ZNF77
54989,ZNF770
51333,ZNF771
400720,ZNF772
374928,ZNF773
342132,ZNF774
285971,ZNF775
284309,ZNF776
27153,ZNF777
197320,ZNF778
284323,ZNF780A
163131,ZNF780B
163115,ZNF781
158431,ZNF782
100289678,ZNF783
147808,ZNF784
146540,ZNF785
136051,ZNF786
126208,ZNF787
388507,ZNF788
285989,ZNF789
7633,ZNF79
388536,ZNF790
163049,ZNF791
126375,ZNF792
390927,ZNF793
90576,ZNF799
7554,ZNF8
168850,ZNF800
91752,ZNF804A
219578,ZNF804B
390980,ZNF805
388558,ZNF808
347344,ZNF81
729648,ZNF812
126017,ZNF813
730051,ZNF814
125893,ZNF816
55565,ZNF821
55552,ZNF823
152485,ZNF827
374899,ZNF829
55769,ZNF83
91603,ZNF830
128611,ZNF831
401898,ZNF833P
90485,ZNF835
162962,ZNF836
116412,ZNF837
55778,ZNF839
7637,ZNF84
284371,ZNF841
283933,ZNF843
284391,ZNF844
91664,ZNF845
162993,ZNF846
7639,ZNF85
54753,ZNF853
344787,ZNF860
642280,ZNF876P
729747,ZNF878
345462,ZNF879
400713,ZNF880
440122,ZNF891
7643,ZNF90
7644,ZNF91
168374,ZNF92
81931,ZNF93
148198,ZNF98
7652,ZNF99
57169,ZNFX1
284312,ZSCAN1
84891,ZSCAN10
9753,ZSCAN12
80345,ZSCAN16
65982,ZSCAN18
54993,ZSCAN2
7579,ZSCAN20
7589,ZSCAN21
342945,ZSCAN22
222696,ZSCAN23
146050,ZSCAN29
100101467,ZSCAN30
79149,ZSCAN5A
221302,ZUFSP
7789,ZXDA
158586,ZXDB
79364,ZXDC
26009,ZZZ3
